상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),창고면적(종합),관련법률,취급품목,위도,경도
B,1108105034,"경기도 고양시 덕양구 삼막3길 10, 지하1층,지상1층 (오금동)",16159,0,16159,물류시설법,택배물품,37.6660379,126.9109039
B,1108105034,세종특별자치시 부강면 부강외천로 298,2722.32,0,2722.32,물류시설법,사첨(사료),36.5287494,127.3997345
B,1108105034,"경기도 고양시 덕양구 삼막3길 10, 고양삼송로지스힐 지하2층 (오금동)",8727,0,8727,물류시설법,택배품목다수,37.6660379,126.9109039
B,1108105034,"경기도 고양시 덕양구 삼막3길 10, 고양삼송로지스힐 5층 (오금동)",5281,0,5281,물류시설법,택배물품,37.6660379,126.9109039
B,1108105034,경기도 이천시 설성면 경충대로 871,26543.97,0,26543.97,물류시설법,건강기능식품 등,37.1731037,127.5660544
B,1108105034,부산광역시 강서구 미음국제2로 59(미음동),27953.7,3305.8,31259.5,물류시설법,원두 집기류,35.1481352,128.8696642
B,1108105034,강원특별자치도 춘천시 후석로440번길 43(후평동),1674,0,1674,물류시설법,택배물품,37.88957,127.7478909
B,1108105034,경기도 남양주시 진접읍 장현로 27,2687.74,0,2687.74,물류시설법,택배화물,37.7190641,127.1840593
B,1108105034,"인천광역시 서구 갑문1로 10, 은산해운항공(주) (오류동)",4727.2,0,4727.2,물류시설법,CVS물류(가공품),37.5641282,126.6047469
B,1108105034,경상남도 창원시 마산합포구 가포신항남로 34(가포동),2391.83,0,2391.83,물류시설법,택배,35.1639201,128.5779525
B,1108105034,"부산광역시 기장군 장안읍 반룡산단로 102, 씨제이대한통운(주)동부산지점",1829,0,1829,물류시설법,택배물품(잡화),35.3325318,129.2499062
B,1108105034,경기도 용인시 처인구 양지면 양지로 271,3947.06,0,3947.06,물류시설법,상온일반제품,37.2386357,127.2968622
B,1108105034,"부산광역시 강서구 미음국제4로 28, CJ대한통운(주) 1동 (미음동)",2397.63,0,2397.63,물류시설법,택배물품(잡화),35.1444463,128.8695583
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) P동 (부곡동)",0,3051.2,3051.2,물류시설법,침구류,37.3309195,126.9371945
B,1108105034,경기도 포천시 군내면 용정경제로1길 83,5217.07,1693.36,6910.43,물류시설법,식품포장완제품,37.8775085,127.2056068
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A동 4층 (부곡동)",2128.93,0,2128.93,물류시설법,이불 침구류,37.3309195,126.9371945
B,1108105034,경기도 고양시 덕양구 동헌로 337(대자동),5647,0,5647,물류시설법,택배,37.709774,126.8914048
B,1108105034,"전북특별자치도 완주군 봉동읍 완주산단2로 282-10, (유)진로지스틱",8412.04,0,8412.04,물류시설법,의약품 등,35.9595656,127.1308319
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A동 5층 (부곡동)",2128.93,0,2128.93,물류시설법,화장품,37.3309195,126.9371945
B,1108105034,전라남도 순천시 서면 신촌2길 2-8,3332.78,0,3332.78,물류시설법,택배상품,35.0316678,127.4409254
B,1108105034,경기도 여주시 대신면 대신로 8-3,37750.82,0,37750.82,물류시설법,"건강기능식품, 생황용품",37.3435,127.6415705
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) E동 (부곡동)",38400,0,38400,물류시설법,"건강기능식품, 생활용품",37.3309195,126.9371945
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) B, I, J, Q동 (부곡동)",59050,0,59050,물류시설법,의류,37.3309195,126.9371945
B,1108105034,경기도 양주시 은현면 은현로312번길 303,2386.46,0,2386.46,물류시설법,택배상품,37.8969855,127.0327032
B,1108105034,"경기도 용인시 처인구 남사읍 당하로 121, 5층",13642.59,0,13642.59,물류시설법,"건강기능식품, 생활용품 등",37.1440677,127.1543094
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A-2-1동 A-2-2동 4층 (부곡동)",3927.27,0,3927.27,물류시설법,전기전자,37.3309195,126.9371945
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A-1-1동, 2-1동 4층 (부곡동)",2459.7,0,2459.7,물류시설법,가전,37.3309195,126.9371945
B,1108105034,경기도 남양주시 화도읍 재재기로 100-14,1499,0,1499,물류시설법,택배,37.62497,127.3014373
B,1108105034,경기도 파주시 하우고개길 458-1 (상지석동),2202,0,2202,물류시설법,택배물품,37.719851,126.7789408
B,1108105034,경상북도 구미시 1공단로10길 103-9 (공단동),10015,0,10015,물류시설법,항공 및 육상화물,36.0932615,128.3826897
B,1108105034,"경기도 파주시 월롱면 황소바위길 99, 크라운베이커리",2860.4,0,2860.4,물류시설법,택배물품,37.7799391,126.7940529
B,1108105034,경기도 남양주시 진접읍 진벌로 60,3488,0,3488,물류시설법,택배,37.7445412,127.212073
B,1108105034,충청남도 천안시 동남구 목천읍 세종로 4755,3266.04,0,3266.04,물류시설법,가전제품,36.7340387,127.1679487
B,1108105034,경기도 용인시 처인구 양지면 중부대로 2465,21238,0,21238,물류시설법,상온일반제품,37.2395154,127.3136012
B,1108105034,경기도 화성시 비봉면 현대기아로 759-1,1638.19,0,1638.19,물류시설법,택배화물,37.2147149,126.8571279
B,1108105034,"경상남도 양산시 물금읍 제방로 27-3, 5층",2128.93,0,2128.93,물류시설법,산업용 벨트류,35.2930684,129.0102554
B,1108105034,경기도 이천시 모가면 사실로 512-40,11824,0,11824,물류시설법,택배용품,37.1581556,127.4413617
B,1108105034,경기도 평택시 안중읍 안현로 536,1948,0,1948,물류시설법,택배화물,36.9948516,126.9370857
B,1108105034,경기도 남양주시 진건읍 독정로231번길 38,1339,0,1339,물류시설법,택배,37.681521,127.189998
B,1108105034,경기도 화성시 영천로 179 (영천동),3467.97,0,3467.97,물류시설법,택배배송상품,37.2086361,127.0943849
B,1108105034,경기도 화성시 마도면 마도로 496,9120,0,9120,물류시설법,"에어컨, 공기청정기, 가전제품 등",37.1880463,126.7577271
B,1108105034,경기도 화성시 마도면 송정서길 28,6502.4,0,6502.4,물류시설법,"에어컨, 가전제품 등",37.2167254,126.782068
B,1108105034,경기도 이천시 호법면 중부대로 743,14376,0,14376,물류시설법,의류 침구류 등,37.2482776,127.4162604
B,1108105034,"경기도 김포시 고촌읍 아라육로152번길 115, 케이로지스필드 2 4층",9829.1,0,9829.1,물류시설법,택배상품,37.598967,126.7842656
B,1108105034,경기도 이천시 호법면 안평로 59-31,2042,0,2042,물류시설법,택배집배송 상품,37.2285269,127.4249618
B,1108105034,대구광역시 서구 문화로 77 (이현동),2911.1,0,2911.1,물류시설법,항공 및 육상화물,35.8750462,128.54113
B,1108105034,경기도 광주시 초월읍 산수로622번길 46,2792.04,0,2792.04,물류시설법,택배,37.4134587,127.3080734
B,1108105034,경기도 광주시 경충대로 1939 (장지동),6844,0,6844,물류시설법,택배,37.4050004,127.2257922
B,1108105034,"경기도 부천시 오정구 신흥로511번길 80, 켄달스퀘어 부천 로지스틱스파크 A동 (오정동)",6337,0,6337,물류시설법,택배물품,37.5304381,126.7735047
B,1108105034,강원특별자치도 원주시 지정면 하차면길 19-36,2856.89,0,2856.89,물류시설법,"택배물품, 화장품",37.3601837,127.8958947
B,1108105034,경상북도 포항시 북구 흥해읍 성곡길182번길 6,2625.5,0,2625.5,물류시설법,택배품목,36.0887875,129.351933
B,1108105034,경기도 고양시 일산동구 장항로 179 (장항동),3049.69,0,3049.69,물류시설법,택배화물,37.6378533,126.7785908
B,1108105034,경기도 남양주시 오남읍 양지로46번길 145,1044,0,1044,물류시설법,택배물품,37.6942529,127.20585
B,1108105034,경상남도 양산시 물금읍 제방로 27-8,4204.96,0,4204.96,물류시설법,"냉동, 저온식품 등",35.2930684,129.0102554
B,1108105034,경기도 이천시 마장면 덕평로 965,0,1322,1322,물류시설법,아이스크림 원부재료 등,37.2443127,127.3608242
B,1108105034,경기도 용인시 처인구 백암면 덕평로 140,1331,3867,5198,물류시설법,식품,37.180695,127.3750642
B,1108105034,강원특별자치도 강릉시 율곡로 3214 (죽헌동),950.11,660,1610.11,물류시설법,공산품,37.7847972,128.8688249
B,1108105034,"경기도 용인시 처인구 백암면 죽양대로904번길 63, 1층",8831.5,0,8831.5,물류시설법,"문구, 잡화",37.1488437,127.3896973
B,1108105034,경기도 안성시 대덕면 만세로 252,3946,0,3946,물류시설법,자동차 부품,37.0359498,127.2230845
B,1108105034,경기도 안성시 양성면 양성로 376-106,5762,0,5762,물류시설법,제과(과자류),37.0866069,127.2173607
B,3748500612,경기도 용인시 처인구 양지면 남평로 111-73,150012,0,150012,물류시설법,"의류, 화장품 등",37.2301617,127.2951706
B,1108105034,경상남도 함안군 법수면 법수로 498,4244,0,4244,물류시설법,생필품,35.3147466,128.3787383
B,1108105034,"경기도 화성시 동탄물류로 48, B동 1~B2층 (신동)",141444.63,63203.31,204647.94,물류시설법,"식품, 의약품 등",37.1703977,127.1318428
B,1108105034,"경기도 광주시 초월읍 산수로 642-70, 초월물류단지",226846.3,0,226846.3,물류시설법,택배,37.4141767,127.3131277
B,1108105034,"경기도 이천시 호법면 덕평로 472-96, (주)정안로지스 물류센터",12999,0,12999,물류시설법,물류(의류),37.2059428,127.3919571
B,1108105034,경상북도 경산시 하양읍 지식산업2로1길 63,13569,8368,21937,물류시설법,"음료및식품, 제약, 공산품,자동차부품",35.9431613,128.8220099
B,1108105034,충청북도 옥천군 이원면 건진2길 65,25564.23,0,25564.23,물류시설법,택배수화물 등,36.2521777,127.6237662
B,1108105034,경기도 용인시 처인구 원삼면 죽양대로 1566,7504,0,7504,물류시설법,"잡화, 서적, 의류",37.1809995,127.3389349
B,1108105034,경기도 용인시 처인구 백암면 원설로 606,10605.5,0,10605.5,물류시설법,"생활가구, 생활용품",37.1428898,127.3975847
B,1108105034,경상북도 구미시 산호대로 264-16 (공단동),7059.66,0,7059.66,물류시설법,자동차배터리,36.1012981,128.3838694
