상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) A-1-1동, 2-1동 4층 (부곡동)",2459.7,0,물류시설법,가전,37.3309195,126.9371945
B,1108105034,경기도 남양주시 화도읍 재재기로 100-14,1499,0,물류시설법,택배,37.62497,127.3014373
B,1108105034,경기도 파주시 하우고개길 458-1 (상지석동),2202,0,물류시설법,택배물품,37.719851,126.7789408
B,1108105034,경상북도 구미시 1공단로10길 103-9 (공단동),10015,0,물류시설법,항공 및 육상화물,36.0932615,128.3826897
B,1108105034,"경기도 파주시 월롱면 황소바위길 99, 크라운베이커리",2860.4,0,물류시설법,택배물품,37.7799391,126.7940529
B,1108105034,경기도 남양주시 진접읍 진벌로 60,3488,0,물류시설법,택배,37.7445412,127.212073
B,1108105034,충청남도 천안시 동남구 목천읍 세종로 4755,3266.04,0,물류시설법,가전제품,36.7340387,127.1679487
B,1108105034,경기도 용인시 처인구 양지면 중부대로 2465,21238,0,물류시설법,상온일반제품,37.2395154,127.3136012
B,1108105034,경기도 화성시 비봉면 현대기아로 759-1,1638.19,0,물류시설법,택배화물,37.2147149,126.8571279
B,1108105034,"경상남도 양산시 물금읍 제방로 27-3, 5층",2128.93,0,물류시설법,산업용 벨트류,35.2930684,129.0102554
B,1108105034,경기도 이천시 모가면 사실로 512-40,11824,0,물류시설법,택배용품,37.1581556,127.4413617
B,1108105034,경기도 평택시 안중읍 안현로 536,1948,0,물류시설법,택배화물,36.9948516,126.9370857
B,1108105034,경기도 남양주시 진건읍 독정로231번길 38,1339,0,물류시설법,택배,37.681521,127.189998
B,1108105034,경기도 화성시 영천로 179 (영천동),3467.97,0,물류시설법,택배배송상품,37.2086361,127.0943849
B,1108105034,경기도 화성시 마도면 마도로 496,9120,0,물류시설법,"에어컨, 공기청정기, 가전제품 등",37.1880463,126.7577271
B,1108105034,경기도 화성시 마도면 송정서길 28,6502.4,0,물류시설법,"에어컨, 가전제품 등",37.2167254,126.782068
B,1108105034,경기도 이천시 호법면 중부대로 743,14376,0,물류시설법,의류 침구류 등,37.2482776,127.4162604
B,1108105034,"경기도 김포시 고촌읍 아라육로152번길 115, 케이로지스필드 2 4층",9829.1,0,물류시설법,택배상품,37.598967,126.7842656
B,1108105034,경기도 이천시 호법면 안평로 59-31,2042,0,물류시설법,택배집배송 상품,37.2285269,127.4249618
B,1108105034,대구광역시 서구 문화로 77 (이현동),2911.1,0,물류시설법,항공 및 육상화물,35.8750462,128.54113
B,1108105034,경기도 광주시 초월읍 산수로622번길 46,2792.04,0,물류시설법,택배,37.4134587,127.3080734
B,1108105034,경기도 광주시 경충대로 1939 (장지동),6844,0,물류시설법,택배,37.4050004,127.2257922
B,1108105034,"경기도 부천시 오정구 신흥로511번길 80, 켄달스퀘어 부천 로지스틱스파크 A동 (오정동)",6337,0,물류시설법,택배물품,37.5304381,126.7735047
B,1108105034,강원특별자치도 원주시 지정면 하차면길 19-36,2856.89,0,물류시설법,"택배물품, 화장품",37.3601837,127.8958947
B,1108105034,경상북도 포항시 북구 흥해읍 성곡길182번길 6,2625.5,0,물류시설법,택배품목,36.0887875,129.351933
B,1108105034,경기도 고양시 일산동구 장항로 179 (장항동),3049.69,0,물류시설법,택배화물,37.6378533,126.7785908
B,1108105034,경기도 남양주시 오남읍 양지로46번길 145,1044,0,물류시설법,택배물품,37.6942529,127.20585
B,1108105034,경상남도 양산시 물금읍 제방로 27-8,4204.96,0,물류시설법,"냉동, 저온식품 등",35.2930684,129.0102554
